Categoria,Definicion
MMID,Numero de registro
Titulo_Corto,Titulo corto de la base de datos
Keywords,Palabras clave que definan la base de datos
Autor,Autor responsable de la base de datos
Institucion,Institucion en donde la base de datos vive
Disponibilidad,ÀEsta disponible?
Objeto_Estudio,El objeto de estudio de la base de datos
Area,La categoria mas general
Region,Una categoria mas especifica
Localidad,"Puede ser tan especifico como el poblado de tecpan de galeana, guerrero"
Inicio,Ano de inicio de los datos
Fin,Ano de finalizacion de los datos
Puntos_Temp,Cuantos puntos hay entre los anos.
Unidad,Unidad de los datos
Resolucion_Temporal,Resolucion temporal de los datos
Resolucion_Espacial,Resolucion espacial de los datos
Titulo_Original,Titulo Original de los datos
Titulo_Documento,Titulo del documento (o sitio web) en el que estan publicados
Fecha_Publicacion,Fecha en la que se publicaron los datos
Referencia,Link o cita bibliografica de los mismos
Contacto,Persona responsable de los datos
Tipo_Institucion,Tipo de institucion que conteine los datos
Fondos,Tipo de institucion que financio los datos
Campo,Campo de investigacion
ISE,Interaccion Socio Ecologica
Notas,