"Species","Region","miny","maxy","Key","Texto"
"Lutjanus argentiventris","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus argentiventris en manglares de MULEGE"
"Lutjanus argentiventris","SAN JOSE",2009,2009,"NOPOLO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus argentiventris en manglares de SAN JOSE"
"Lutjanus argentiventris","SAN MARCOS",2009,2009,"SAN BRUNO; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus argentiventris en manglares de SAN MARCOS"
"Lutjanus argentiventris","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus argentiventris en manglares de SAN NICOLAS"
"Lutjanus argentiventris","SANTA ROSALIA",2006,2009,"LOS MOJONES; SAN MARCOS; SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus argentiventris en manglares de SANTA ROSALIA"
"Lutjanus argentiventris","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus argentiventris en manglares de STA ROSALIA"
"Lutjanus colorado","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; NOPOLO; EL FRIJOL; EL MANGLE 2; LA BALLENA; STA BARBARA 2 Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de BAHIA CONCEPCION"
"Lutjanus colorado","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; UABCS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de BAHIA DE LA PAZ"
"Lutjanus colorado","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de ENSENADA DE LA PAZ"
"Lutjanus colorado","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de FRENTE A SAN MARCOS"
"Lutjanus colorado","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de ISLA ESPIRITU SANTO"
"Lutjanus colorado","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de ISLA SAN JOSE"
"Lutjanus colorado","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de LORETO"
"Lutjanus colorado","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de MULEGE"
"Lutjanus colorado","SAN MARCOS",2009,2009,"SAN BRUNO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de SAN MARCOS"
"Lutjanus colorado","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de SAN NICOLAS"
"Lutjanus colorado","SANTA ROSALIA",2006,2009,"LOS MOJONES; SAN MARCOS; SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de SANTA ROSALIA"
"Lutjanus colorado","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus colorado en manglares de STA ROSALIA"
"Lutjanus guttatus","ISLA ESPIRITU SANTO",2008,2008,"EL TOPO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus guttatus en manglares de ISLA ESPIRITU SANTO"
"Lutjanus novemfasciatus","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; NOPOLO; EL FRIJOL; EL MANGLE 2; LA BALLENA; STA BARBARA 2 Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de BAHIA CONCEPCION"
"Lutjanus novemfasciatus","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; PTA MOGOTE; UABCS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de BAHIA DE LA PAZ"
"Lutjanus novemfasciatus","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de ENSENADA DE LA PAZ"
"Lutjanus novemfasciatus","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de FRENTE A SAN MARCOS"
"Lutjanus novemfasciatus","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de ISLA ESPIRITU SANTO"
"Lutjanus novemfasciatus","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de ISLA SAN JOSE"
"Lutjanus novemfasciatus","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO; SAN BASILIO 2 Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de LORETO"
"Lutjanus novemfasciatus","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de MULEGE"
"Lutjanus novemfasciatus","SAN JOSE",2009,2009,"NOPOLO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de SAN JOSE"
"Lutjanus novemfasciatus","SAN MARCOS",2009,2009,"SAN BRUNO; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de SAN MARCOS"
"Lutjanus novemfasciatus","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de SAN NICOLAS"
"Lutjanus novemfasciatus","SANTA ROSALIA",2006,2009,"LOS MOJONES; SAN MARCOS; SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de SANTA ROSALIA"
"Lutjanus novemfasciatus","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Tallas de Lutjanus novemfasciatus en manglares de STA ROSALIA"
"Hoplopagrus guentherii","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; EL FRIJOL Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de BAHIA CONCEPCION"
"Hoplopagrus guentherii","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; PTA MOGOTE; UABCS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de BAHIA DE LA PAZ"
"Hoplopagrus guentherii","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de ENSENADA DE LA PAZ"
"Hoplopagrus guentherii","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de FRENTE A SAN MARCOS"
"Hoplopagrus guentherii","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de ISLA ESPIRITU SANTO"
"Hoplopagrus guentherii","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de ISLA SAN JOSE"
"Hoplopagrus guentherii","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO; SAN BASILIO 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de LORETO"
"Hoplopagrus guentherii","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de MULEGE"
"Hoplopagrus guentherii","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de SAN NICOLAS"
"Hoplopagrus guentherii","SANTA ROSALIA",2006,2007,"LOS MOJONES; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de SANTA ROSALIA"
"Hoplopagrus guentherii","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Hoplopagrus guentherii en manglares de STA ROSALIA"
"Lutjanus arattus","BAHIA CONCEPCION",2006,2008,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de BAHIA CONCEPCION"
"Lutjanus arattus","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de BAHIA DE LA PAZ"
"Lutjanus arattus","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de ENSENADA DE LA PAZ"
"Lutjanus arattus","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de FRENTE A SAN MARCOS"
"Lutjanus arattus","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de ISLA ESPIRITU SANTO"
"Lutjanus arattus","ISLA SAN JOSE",2007,2007,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de ISLA SAN JOSE"
"Lutjanus arattus","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de LORETO"
"Lutjanus arattus","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de SAN NICOLAS"
"Lutjanus arattus","SANTA ROSALIA",2006,2007,"LOS MOJONES; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de SANTA ROSALIA"
"Lutjanus arattus","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus arattus en manglares de STA ROSALIA"
"Lutjanus argentiventris","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; NOPOLO; EL FRIJOL; EL MANGLE 1; EL MANGLE 2; LA BALLENA; STA BARBARA 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de BAHIA CONCEPCION"
"Lutjanus argentiventris","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; PTA MOGOTE; UABCS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de BAHIA DE LA PAZ"
"Lutjanus argentiventris","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de ENSENADA DE LA PAZ"
"Lutjanus argentiventris","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de FRENTE A SAN MARCOS"
"Lutjanus argentiventris","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de ISLA ESPIRITU SANTO"
"Lutjanus argentiventris","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de ISLA SAN JOSE"
"Lutjanus argentiventris","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO; SAN BASILIO 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de LORETO"
"Lutjanus argentiventris","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de MULEGE"
"Lutjanus argentiventris","SAN JOSE",2009,2009,"NOPOLO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de SAN JOSE"
"Lutjanus argentiventris","SAN MARCOS",2009,2009,"SAN BRUNO; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de SAN MARCOS"
"Lutjanus argentiventris","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de SAN NICOLAS"
"Lutjanus argentiventris","SANTA ROSALIA",2006,2009,"LOS MOJONES; SAN MARCOS; SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de SANTA ROSALIA"
"Lutjanus argentiventris","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus argentiventris en manglares de STA ROSALIA"
"Lutjanus colorado","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; NOPOLO; EL FRIJOL; EL MANGLE 2; LA BALLENA; STA BARBARA 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de BAHIA CONCEPCION"
"Lutjanus colorado","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; UABCS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de BAHIA DE LA PAZ"
"Lutjanus colorado","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de ENSENADA DE LA PAZ"
"Lutjanus colorado","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de FRENTE A SAN MARCOS"
"Lutjanus colorado","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de ISLA ESPIRITU SANTO"
"Lutjanus colorado","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de ISLA SAN JOSE"
"Lutjanus colorado","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de LORETO"
"Lutjanus colorado","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de MULEGE"
"Lutjanus colorado","SAN MARCOS",2009,2009,"SAN BRUNO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de SAN MARCOS"
"Lutjanus colorado","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de SAN NICOLAS"
"Lutjanus colorado","SANTA ROSALIA",2006,2009,"LOS MOJONES; SAN MARCOS; SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de SANTA ROSALIA"
"Lutjanus colorado","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus colorado en manglares de STA ROSALIA"
"Lutjanus guttatus","ISLA ESPIRITU SANTO",2008,2008,"EL TOPO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus guttatus en manglares de ISLA ESPIRITU SANTO"
"Lutjanus novemfasciatus","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; NOPOLO; EL FRIJOL; EL MANGLE 2; LA BALLENA; STA BARBARA 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de BAHIA CONCEPCION"
"Lutjanus novemfasciatus","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; PTA MOGOTE; UABCS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de BAHIA DE LA PAZ"
"Lutjanus novemfasciatus","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de ENSENADA DE LA PAZ"
"Lutjanus novemfasciatus","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de FRENTE A SAN MARCOS"
"Lutjanus novemfasciatus","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de ISLA ESPIRITU SANTO"
"Lutjanus novemfasciatus","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de ISLA SAN JOSE"
"Lutjanus novemfasciatus","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO; SAN BASILIO 2 Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de LORETO"
"Lutjanus novemfasciatus","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de MULEGE"
"Lutjanus novemfasciatus","SAN JOSE",2009,2009,"NOPOLO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de SAN JOSE"
"Lutjanus novemfasciatus","SAN MARCOS",2009,2009,"SAN BRUNO; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de SAN MARCOS"
"Lutjanus novemfasciatus","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de SAN NICOLAS"
"Lutjanus novemfasciatus","SANTA ROSALIA",2006,2009,"LOS MOJONES; SAN MARCOS; SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de SANTA ROSALIA"
"Lutjanus novemfasciatus","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Abundancia de Lutjanus novemfasciatus en manglares de STA ROSALIA"
