MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Notes,Lat,Long
,Estudio Previo para la determinacion del ANP Alto Golfo de California y Delta del Rio Colorado,RB; Baja California.: Mexicali; Sonora: Puerto Penasco y San Luis Rio Colorado,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Alto Golfo de California y Delta del Rio Colorado,2009,2009,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Archipielago de Revillagigedo,RB; S/M,CONAMP,CONAMP,1,NA,Pacific,Central Pacific,Archipielago de Revillagigedo,2007,2007,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecife Alacranes,PN; Frente al municipio de Progreso,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecife Alacranes,2007,2007,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecife de Puerto Morelos,PN; Benito Juarez,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecife de Puerto Morelos,2000,2000,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecifes de Cozumel,PN; Cozumel,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecifes de Cozumel,1998,1998,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecifes de Sian Ka'an,RB; Felipe Carrillo Puerto y Tulum,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecifes de Sian Ka'an,2011,2011,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecifes de Xcalak,PN; Costa caribe de Othon P. Blanco,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecifes de Xcalak,2004,2004,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Bahia de Loreto,PN; Frente a las costas del municipio de Loreto,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Bahia de Loreto,2003,2003,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Balandra,APFyF; La Paz,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Balandra,2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Banco Chinchorro,RB; Frente a las costas de Othon P. Blanco,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Banco Chinchorro,2000,2000,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Cabo Pulmo,PN; Frente al municipio de Los Cabos,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Cabo Pulmo,2009,2009,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,"Estudio Previo para la determinacion del ANP Costa Occ. de I. Mujeres, Pta. Cancun y Pta. Nizuc",PN; Isla Mujeres y Benito Juarez,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,"Costa Occ. de I. Mujeres, Pta. Cancun y Pta. Nizuc",2016,2016,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP El Vizcaino,RB; Baja California: Ensenada; Baja California Sur: Mulege y Comondu,CONAMP,CONAMP,1,NA,Pacific,G. Of California,El Vizcaino,2000,2000,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Huatulco,PN; Santa Maria Huatulco,CONAMP,CONAMP,1,NA,Pacific,South Pacific,Huatulco,2002,2002,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Isla Contoy,PN; Isla Mujeres,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Isla Contoy,2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Isla Guadalupe,RB; Frente a la costa de la peninsula de Baja California,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Isla Guadalupe,2011,2011,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Isla San Pedro Martir,RB; Costa de Hermosillo,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Isla San Pedro Martir,2011,2011,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Islas Marias,RB; Frente a la costa de San Blas,CONAMP,CONAMP,1,NA,Pacific,Central Pacific,Islas Marias,2011,2011,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Islas Marietas,PN; Frente a la costa del municipio Bahia de Banderas,CONAMP,CONAMP,1,NA,Pacific,Central Pacific,Islas Marietas,2011,2011,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP La Encrucijada,"RB; Mazatan, Huehuetan, Huixtla, Villa Comaltitlan, Acapetahua, Mapastepec y Pijijiapan",CONAMP,CONAMP,1,NA,Pacific,South Pacific,La Encrucijada,2000,2000,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,"Estudio Previo para la determinacion del ANP La porcion norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel",APFyF; Cozumel,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,"La porcion norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel",2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Laguna de Terminos,"APFyF; Campeche: Carmen, Palizada y Champoton; Tabasco: Jonuta",CONAMP,CONAMP,1,NA,Atlantic,W. G of Mexico,Laguna de Terminos,1997,1997,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Los Petenes,"RB; Calkini, Hecelchakan, Tenabo y Campeche",CONAMP,CONAMP,1,NA,Atlantic,W. G of Mexico,Los Petenes,2009,2009,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Ria Celestun,"RB; Campeche: Calkini; Yucatan: Celestun, Maxcanu, Hunucma y Halacho",CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Ria Celestun,2002,2002,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Sian Ka'an,"RB; Felipe Carrillo Puerto, Solidaridad y Bacalar",CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Sian Ka'an,2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Sistema Arrecifal Lobos-Tuxpan,APFyF; Frente a las costas de Tamiahua y Tuxpan,CONAMP,CONAMP,1,NA,Atlantic,W. G of Mexico,Sistema Arrecifal Lobos-Tuxpan,2014,2014,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Tiburon Ballena,RB; Frente a las costas del norte de Quintana Roo,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Tiburon Ballena,2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Ventilas Hidrotermales de la Cuenca de Guaymas y de la Dorsal del Pacifico Oriental,SANT; Golfo de California y en el Pacifico Norte,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Ventilas Hidrotermales de la Cuenca de Guaymas y de la Dorsal del Pacifico Oriental,2014,2014,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,"Estudio Previo para la determinacion del ANP Bahia de los angeles, canales de Ballenas y de Salsipuedes",RB; Frente al municipio de Ensenada,CONAMP,CONAMP,1,NA,Pacific,G. Of California,"Bahia de los angeles, canales de Ballenas y de Salsipuedes",2013,2013,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP del Archipielago de Espiritu Santo,PN; Frente a las costas de La Paz,CONAMP,CONAMP,1,NA,Pacific,G. Of California,del Archipielago de Espiritu Santo,2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP del Archipielago de San Lorenzo,PN; Frente a las costas de Ensenada,CONAMP,CONAMP,1,NA,G. Of California,G. Of California,Archipielago de San Lorenzo,NA,NA,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,