"","Nombre Comun","Entidad","Oficina","Origen","Min","Max","D2.n","Nombre_I","Nombre_II","Nombre_III","Key_I","Key_II","Key_III"
"1","ABULON AMARILLO","BAJA CALIFORNIA","EL ROSARIO","CAPTURA",2010,2010,1,"CAPTURA (Peso Vivo) de ABULON AMARILLO en EL ROSARIO","CAPTURA (Peso Desemb.) de ABULON AMARILLO en EL ROSARIO","Valor de CAPTURA de ABULON AMARILLO en EL ROSARIO","Peso; Vivo; Captura;;ABULON AMARILLO;EL ROSARIO","Peso; Desembarcado; Captura;;ABULON AMARILLO;EL ROSARIO","Valor; Ganancia; Captura;;ABULON AMARILLO;EL ROSARIO"
"2","ABULON AMARILLO","BAJA CALIFORNIA","ENSENADA","ACUACULTURA",2007,2007,1,"ACUACULTURA (Peso Vivo) de ABULON AMARILLO en ENSENADA","ACUACULTURA (Peso Desemb.) de ABULON AMARILLO en ENSENADA","Valor de ACUACULTURA de ABULON AMARILLO en ENSENADA","Peso; Vivo; Captura;;ABULON AMARILLO;ENSENADA","Peso; Desembarcado; Captura;;ABULON AMARILLO;ENSENADA","Valor; Ganancia; Captura;;ABULON AMARILLO;ENSENADA"
"3","ABULON AMARILLO","BAJA CALIFORNIA","ENSENADA","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON AMARILLO en ENSENADA","CAPTURA (Peso Desemb.) de ABULON AMARILLO en ENSENADA","Valor de CAPTURA de ABULON AMARILLO en ENSENADA","Peso; Vivo; Captura;;ABULON AMARILLO;ENSENADA","Peso; Desembarcado; Captura;;ABULON AMARILLO;ENSENADA","Valor; Ganancia; Captura;;ABULON AMARILLO;ENSENADA"
"4","ABULON AMARILLO","BAJA CALIFORNIA","ISLA CEDROS","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON AMARILLO en ISLA CEDROS","ACUACULTURA (Peso Desemb.) de ABULON AMARILLO en ISLA CEDROS","Valor de ACUACULTURA de ABULON AMARILLO en ISLA CEDROS","Peso; Vivo; Captura;;ABULON AMARILLO;ISLA CEDROS","Peso; Desembarcado; Captura;;ABULON AMARILLO;ISLA CEDROS","Valor; Ganancia; Captura;;ABULON AMARILLO;ISLA CEDROS"
"5","ABULON AMARILLO","BAJA CALIFORNIA","ISLA CEDROS","CAPTURA",2006,2011,5,"CAPTURA (Peso Vivo) de ABULON AMARILLO en ISLA CEDROS","CAPTURA (Peso Desemb.) de ABULON AMARILLO en ISLA CEDROS","Valor de CAPTURA de ABULON AMARILLO en ISLA CEDROS","Peso; Vivo; Captura;;ABULON AMARILLO;ISLA CEDROS","Peso; Desembarcado; Captura;;ABULON AMARILLO;ISLA CEDROS","Valor; Ganancia; Captura;;ABULON AMARILLO;ISLA CEDROS"
"6","ABULON AMARILLO","BAJA CALIFORNIA SUR","BAHIA ASUNCION","CAPTURA",2006,2013,5,"CAPTURA (Peso Vivo) de ABULON AMARILLO en BAHIA ASUNCION","CAPTURA (Peso Desemb.) de ABULON AMARILLO en BAHIA ASUNCION","Valor de CAPTURA de ABULON AMARILLO en BAHIA ASUNCION","Peso; Vivo; Captura;;ABULON AMARILLO;BAHIA ASUNCION","Peso; Desembarcado; Captura;;ABULON AMARILLO;BAHIA ASUNCION","Valor; Ganancia; Captura;;ABULON AMARILLO;BAHIA ASUNCION"
"7","ABULON AMARILLO","BAJA CALIFORNIA SUR","BAHIA TORTUGAS","CAPTURA",2009,2010,2,"CAPTURA (Peso Vivo) de ABULON AMARILLO en BAHIA TORTUGAS","CAPTURA (Peso Desemb.) de ABULON AMARILLO en BAHIA TORTUGAS","Valor de CAPTURA de ABULON AMARILLO en BAHIA TORTUGAS","Peso; Vivo; Captura;;ABULON AMARILLO;BAHIA TORTUGAS","Peso; Desembarcado; Captura;;ABULON AMARILLO;BAHIA TORTUGAS","Valor; Ganancia; Captura;;ABULON AMARILLO;BAHIA TORTUGAS"
"8","ABULON AMARILLO","BAJA CALIFORNIA SUR","PUNTA ABREOJOS","CAPTURA",2006,2014,7,"CAPTURA (Peso Vivo) de ABULON AMARILLO en PUNTA ABREOJOS","CAPTURA (Peso Desemb.) de ABULON AMARILLO en PUNTA ABREOJOS","Valor de CAPTURA de ABULON AMARILLO en PUNTA ABREOJOS","Peso; Vivo; Captura;;ABULON AMARILLO;PUNTA ABREOJOS","Peso; Desembarcado; Captura;;ABULON AMARILLO;PUNTA ABREOJOS","Valor; Ganancia; Captura;;ABULON AMARILLO;PUNTA ABREOJOS"
"9","ABULON AMARILLO","BAJA CALIFORNIA SUR","SANTA ROSALIA","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON AMARILLO en SANTA ROSALIA","CAPTURA (Peso Desemb.) de ABULON AMARILLO en SANTA ROSALIA","Valor de CAPTURA de ABULON AMARILLO en SANTA ROSALIA","Peso; Vivo; Captura;;ABULON AMARILLO;SANTA ROSALIA","Peso; Desembarcado; Captura;;ABULON AMARILLO;SANTA ROSALIA","Valor; Ganancia; Captura;;ABULON AMARILLO;SANTA ROSALIA"
"10","ABULON AZUL","BAJA CALIFORNIA","EL ROSARIO","CAPTURA",2010,2010,1,"CAPTURA (Peso Vivo) de ABULON AZUL en EL ROSARIO","CAPTURA (Peso Desemb.) de ABULON AZUL en EL ROSARIO","Valor de CAPTURA de ABULON AZUL en EL ROSARIO","Peso; Vivo; Captura;;ABULON AZUL;EL ROSARIO","Peso; Desembarcado; Captura;;ABULON AZUL;EL ROSARIO","Valor; Ganancia; Captura;;ABULON AZUL;EL ROSARIO"
"11","ABULON AZUL","BAJA CALIFORNIA","ENSENADA","ACUACULTURA",2007,2013,3,"ACUACULTURA (Peso Vivo) de ABULON AZUL en ENSENADA","ACUACULTURA (Peso Desemb.) de ABULON AZUL en ENSENADA","Valor de ACUACULTURA de ABULON AZUL en ENSENADA","Peso; Vivo; Captura;;ABULON AZUL;ENSENADA","Peso; Desembarcado; Captura;;ABULON AZUL;ENSENADA","Valor; Ganancia; Captura;;ABULON AZUL;ENSENADA"
"12","ABULON AZUL","BAJA CALIFORNIA","ENSENADA","CAPTURA",2008,2014,4,"CAPTURA (Peso Vivo) de ABULON AZUL en ENSENADA","CAPTURA (Peso Desemb.) de ABULON AZUL en ENSENADA","Valor de CAPTURA de ABULON AZUL en ENSENADA","Peso; Vivo; Captura;;ABULON AZUL;ENSENADA","Peso; Desembarcado; Captura;;ABULON AZUL;ENSENADA","Valor; Ganancia; Captura;;ABULON AZUL;ENSENADA"
"13","ABULON AZUL","BAJA CALIFORNIA","ISLA CEDROS","CAPTURA",2006,2011,5,"CAPTURA (Peso Vivo) de ABULON AZUL en ISLA CEDROS","CAPTURA (Peso Desemb.) de ABULON AZUL en ISLA CEDROS","Valor de CAPTURA de ABULON AZUL en ISLA CEDROS","Peso; Vivo; Captura;;ABULON AZUL;ISLA CEDROS","Peso; Desembarcado; Captura;;ABULON AZUL;ISLA CEDROS","Valor; Ganancia; Captura;;ABULON AZUL;ISLA CEDROS"
"14","ABULON AZUL","BAJA CALIFORNIA","SAN FELIPE","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON AZUL en SAN FELIPE","CAPTURA (Peso Desemb.) de ABULON AZUL en SAN FELIPE","Valor de CAPTURA de ABULON AZUL en SAN FELIPE","Peso; Vivo; Captura;;ABULON AZUL;SAN FELIPE","Peso; Desembarcado; Captura;;ABULON AZUL;SAN FELIPE","Valor; Ganancia; Captura;;ABULON AZUL;SAN FELIPE"
"15","ABULON AZUL","BAJA CALIFORNIA SUR","BAHIA ASUNCION","CAPTURA",2006,2014,6,"CAPTURA (Peso Vivo) de ABULON AZUL en BAHIA ASUNCION","CAPTURA (Peso Desemb.) de ABULON AZUL en BAHIA ASUNCION","Valor de CAPTURA de ABULON AZUL en BAHIA ASUNCION","Peso; Vivo; Captura;;ABULON AZUL;BAHIA ASUNCION","Peso; Desembarcado; Captura;;ABULON AZUL;BAHIA ASUNCION","Valor; Ganancia; Captura;;ABULON AZUL;BAHIA ASUNCION"
"16","ABULON AZUL","BAJA CALIFORNIA SUR","BAHIA TORTUGAS","CAPTURA",2009,2010,2,"CAPTURA (Peso Vivo) de ABULON AZUL en BAHIA TORTUGAS","CAPTURA (Peso Desemb.) de ABULON AZUL en BAHIA TORTUGAS","Valor de CAPTURA de ABULON AZUL en BAHIA TORTUGAS","Peso; Vivo; Captura;;ABULON AZUL;BAHIA TORTUGAS","Peso; Desembarcado; Captura;;ABULON AZUL;BAHIA TORTUGAS","Valor; Ganancia; Captura;;ABULON AZUL;BAHIA TORTUGAS"
"17","ABULON AZUL","BAJA CALIFORNIA SUR","CD. CONSTITUCION","CAPTURA",2006,2014,8,"CAPTURA (Peso Vivo) de ABULON AZUL en CD. CONSTITUCION","CAPTURA (Peso Desemb.) de ABULON AZUL en CD. CONSTITUCION","Valor de CAPTURA de ABULON AZUL en CD. CONSTITUCION","Peso; Vivo; Captura;;ABULON AZUL;CD. CONSTITUCION","Peso; Desembarcado; Captura;;ABULON AZUL;CD. CONSTITUCION","Valor; Ganancia; Captura;;ABULON AZUL;CD. CONSTITUCION"
"18","ABULON AZUL","BAJA CALIFORNIA SUR","GUERRERO NEGRO","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON AZUL en GUERRERO NEGRO","CAPTURA (Peso Desemb.) de ABULON AZUL en GUERRERO NEGRO","Valor de CAPTURA de ABULON AZUL en GUERRERO NEGRO","Peso; Vivo; Captura;;ABULON AZUL;GUERRERO NEGRO","Peso; Desembarcado; Captura;;ABULON AZUL;GUERRERO NEGRO","Valor; Ganancia; Captura;;ABULON AZUL;GUERRERO NEGRO"
"19","ABULON AZUL","BAJA CALIFORNIA SUR","LA PAZ","CAPTURA",2006,2014,6,"CAPTURA (Peso Vivo) de ABULON AZUL en LA PAZ","CAPTURA (Peso Desemb.) de ABULON AZUL en LA PAZ","Valor de CAPTURA de ABULON AZUL en LA PAZ","Peso; Vivo; Captura;;ABULON AZUL;LA PAZ","Peso; Desembarcado; Captura;;ABULON AZUL;LA PAZ","Valor; Ganancia; Captura;;ABULON AZUL;LA PAZ"
"20","ABULON AZUL","BAJA CALIFORNIA SUR","PUNTA ABREOJOS","CAPTURA",2006,2014,7,"CAPTURA (Peso Vivo) de ABULON AZUL en PUNTA ABREOJOS","CAPTURA (Peso Desemb.) de ABULON AZUL en PUNTA ABREOJOS","Valor de CAPTURA de ABULON AZUL en PUNTA ABREOJOS","Peso; Vivo; Captura;;ABULON AZUL;PUNTA ABREOJOS","Peso; Desembarcado; Captura;;ABULON AZUL;PUNTA ABREOJOS","Valor; Ganancia; Captura;;ABULON AZUL;PUNTA ABREOJOS"
"21","ABULON AZUL","BAJA CALIFORNIA SUR","SAN CARLOS","CAPTURA",2006,2014,9,"CAPTURA (Peso Vivo) de ABULON AZUL en SAN CARLOS","CAPTURA (Peso Desemb.) de ABULON AZUL en SAN CARLOS","Valor de CAPTURA de ABULON AZUL en SAN CARLOS","Peso; Vivo; Captura;;ABULON AZUL;SAN CARLOS","Peso; Desembarcado; Captura;;ABULON AZUL;SAN CARLOS","Valor; Ganancia; Captura;;ABULON AZUL;SAN CARLOS"
"22","ABULON AZUL","BAJA CALIFORNIA SUR","SANTA ROSALIA","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON AZUL en SANTA ROSALIA","CAPTURA (Peso Desemb.) de ABULON AZUL en SANTA ROSALIA","Valor de CAPTURA de ABULON AZUL en SANTA ROSALIA","Peso; Vivo; Captura;;ABULON AZUL;SANTA ROSALIA","Peso; Desembarcado; Captura;;ABULON AZUL;SANTA ROSALIA","Valor; Ganancia; Captura;;ABULON AZUL;SANTA ROSALIA"
"23","ABULON AZUL","GUERRERO","ACAPULCO","CAPTURA",NA,NA,1,"CAPTURA (Peso Vivo) de ABULON AZUL en ACAPULCO","CAPTURA (Peso Desemb.) de ABULON AZUL en ACAPULCO","Valor de CAPTURA de ABULON AZUL en ACAPULCO","Peso; Vivo; Captura;;ABULON AZUL;ACAPULCO","Peso; Desembarcado; Captura;;ABULON AZUL;ACAPULCO","Valor; Ganancia; Captura;;ABULON AZUL;ACAPULCO"
"24","ABULON AZUL","OAXACA","PUERTO ESCONDIDO","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON AZUL en PUERTO ESCONDIDO","CAPTURA (Peso Desemb.) de ABULON AZUL en PUERTO ESCONDIDO","Valor de CAPTURA de ABULON AZUL en PUERTO ESCONDIDO","Peso; Vivo; Captura;;ABULON AZUL;PUERTO ESCONDIDO","Peso; Desembarcado; Captura;;ABULON AZUL;PUERTO ESCONDIDO","Valor; Ganancia; Captura;;ABULON AZUL;PUERTO ESCONDIDO"
"25","ABULON BLANCO","VERACRUZ","VERACRUZ","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON BLANCO en VERACRUZ","CAPTURA (Peso Desemb.) de ABULON BLANCO en VERACRUZ","Valor de CAPTURA de ABULON BLANCO en VERACRUZ","Peso; Vivo; Captura;;ABULON BLANCO;VERACRUZ","Peso; Desembarcado; Captura;;ABULON BLANCO;VERACRUZ","Valor; Ganancia; Captura;;ABULON BLANCO;VERACRUZ"
"26","ABULON NEGRO","BAJA CALIFORNIA","ENSENADA","CAPTURA",2006,2007,2,"CAPTURA (Peso Vivo) de ABULON NEGRO en ENSENADA","CAPTURA (Peso Desemb.) de ABULON NEGRO en ENSENADA","Valor de CAPTURA de ABULON NEGRO en ENSENADA","Peso; Vivo; Captura;;ABULON NEGRO;ENSENADA","Peso; Desembarcado; Captura;;ABULON NEGRO;ENSENADA","Valor; Ganancia; Captura;;ABULON NEGRO;ENSENADA"
"27","ABULON NEGRO","BAJA CALIFORNIA","SAN FELIPE","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON NEGRO en SAN FELIPE","CAPTURA (Peso Desemb.) de ABULON NEGRO en SAN FELIPE","Valor de CAPTURA de ABULON NEGRO en SAN FELIPE","Peso; Vivo; Captura;;ABULON NEGRO;SAN FELIPE","Peso; Desembarcado; Captura;;ABULON NEGRO;SAN FELIPE","Valor; Ganancia; Captura;;ABULON NEGRO;SAN FELIPE"
"28","ABULON ROJO","BAJA CALIFORNIA","ENSENADA","ACUACULTURA",2007,2014,7,"ACUACULTURA (Peso Vivo) de ABULON ROJO en ENSENADA","ACUACULTURA (Peso Desemb.) de ABULON ROJO en ENSENADA","Valor de ACUACULTURA de ABULON ROJO en ENSENADA","Peso; Vivo; Captura;;ABULON ROJO;ENSENADA","Peso; Desembarcado; Captura;;ABULON ROJO;ENSENADA","Valor; Ganancia; Captura;;ABULON ROJO;ENSENADA"
"29","ABULON ROJO","BAJA CALIFORNIA","ISLA CEDROS","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON ROJO en ISLA CEDROS","ACUACULTURA (Peso Desemb.) de ABULON ROJO en ISLA CEDROS","Valor de ACUACULTURA de ABULON ROJO en ISLA CEDROS","Peso; Vivo; Captura;;ABULON ROJO;ISLA CEDROS","Peso; Desembarcado; Captura;;ABULON ROJO;ISLA CEDROS","Valor; Ganancia; Captura;;ABULON ROJO;ISLA CEDROS"
"30","ABULON ROJO","BAJA CALIFORNIA","MEXICALI","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON ROJO en MEXICALI","ACUACULTURA (Peso Desemb.) de ABULON ROJO en MEXICALI","Valor de ACUACULTURA de ABULON ROJO en MEXICALI","Peso; Vivo; Captura;;ABULON ROJO;MEXICALI","Peso; Desembarcado; Captura;;ABULON ROJO;MEXICALI","Valor; Ganancia; Captura;;ABULON ROJO;MEXICALI"
"31","ABULON ROJO","BAJA CALIFORNIA","SAN FELIPE","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON ROJO en SAN FELIPE","ACUACULTURA (Peso Desemb.) de ABULON ROJO en SAN FELIPE","Valor de ACUACULTURA de ABULON ROJO en SAN FELIPE","Peso; Vivo; Captura;;ABULON ROJO;SAN FELIPE","Peso; Desembarcado; Captura;;ABULON ROJO;SAN FELIPE","Valor; Ganancia; Captura;;ABULON ROJO;SAN FELIPE"
"32","ABULON ROJO","BAJA CALIFORNIA","SAN QUINTIN","ACUACULTURA",2010,2012,2,"ACUACULTURA (Peso Vivo) de ABULON ROJO en SAN QUINTIN","ACUACULTURA (Peso Desemb.) de ABULON ROJO en SAN QUINTIN","Valor de ACUACULTURA de ABULON ROJO en SAN QUINTIN","Peso; Vivo; Captura;;ABULON ROJO;SAN QUINTIN","Peso; Desembarcado; Captura;;ABULON ROJO;SAN QUINTIN","Valor; Ganancia; Captura;;ABULON ROJO;SAN QUINTIN"
"33","ABULON ROJO","OAXACA","PUERTO ESCONDIDO","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON ROJO en PUERTO ESCONDIDO","CAPTURA (Peso Desemb.) de ABULON ROJO en PUERTO ESCONDIDO","Valor de CAPTURA de ABULON ROJO en PUERTO ESCONDIDO","Peso; Vivo; Captura;;ABULON ROJO;PUERTO ESCONDIDO","Peso; Desembarcado; Captura;;ABULON ROJO;PUERTO ESCONDIDO","Valor; Ganancia; Captura;;ABULON ROJO;PUERTO ESCONDIDO"
"34","ABULON SE","BAJA CALIFORNIA","EL ROSARIO","ACUACULTURA",2013,2013,1,"ACUACULTURA (Peso Vivo) de ABULON SE en EL ROSARIO","ACUACULTURA (Peso Desemb.) de ABULON SE en EL ROSARIO","Valor de ACUACULTURA de ABULON SE en EL ROSARIO","Peso; Vivo; Captura;;ABULON SE;EL ROSARIO","Peso; Desembarcado; Captura;;ABULON SE;EL ROSARIO","Valor; Ganancia; Captura;;ABULON SE;EL ROSARIO"
