Area,Region,Location
Pacific,G. California,Alto Golfo de California y Delta del Rio Colorado
Pacific,Central Pacific,Archipielago de Revillagigedo
Atlantic,B. Cam. Caribe,Arrecife Alacranes
Atlantic,B. Cam. Caribe,Arrecife de Puerto Morelos
Atlantic,B. Cam. Caribe,Arrecifes de Cozumel
Atlantic,B. Cam. Caribe,Arrecifes de Sian Ka'an
Atlantic,B. Cam. Caribe,Arrecifes de Xcalak
Pacific,G. California,Bahia de Loreto
Pacific,G. California,Balandra
Atlantic,B. Cam. Caribe,Banco Chinchorro
Pacific,G. California,Cabo Pulmo
Atlantic,B. Cam. Caribe,"Costa Occ. de I. Mujeres, Pta. Cancun y Pta. Nizuc"
Pacific,G. California,El Vizcaino
Pacific,South Pacific,Huatulco
Atlantic,B. Cam. Caribe,Isla Contoy
Pacific,G. California,Isla Guadalupe
Pacific,G. California,Isla San Pedro Martir
Pacific,Central Pacific,Islas Marias
Pacific,Central Pacific,Islas Marietas
Pacific,South Pacific,La Encrucijada
Atlantic,B. Cam. Caribe,"La porcion norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel"
Atlantic,W. G. Mexico,Laguna de Terminos
Atlantic,W. G. Mexico,Los Petenes
Atlantic,B. Cam. Caribe,Ria Celestun
Atlantic,B. Cam. Caribe,Sian Ka'an
Atlantic,W. G. Mexico,Sistema Arrecifal Lobos-Tuxpan
Atlantic,B. Cam. Caribe,Tiburon Ballena
Pacific,G. California,Ventilas Hidrotermales de la Cuenca de Guaymas y de la Dorsal del Pacifico Oriental
Pacific,G. California,"Bahia de los angeles, canales de Ballenas y de Salsipuedes"
Pacific,G. California,del Archipielago de Espiritu Santo
G. California,G. California,Archipielago de San Lorenzo