,Especie,Nombre
1,Acetabularia caliculus,Distribucion de Acetabularia caliculus en la costa del Pacifico
2,Acetabularia crenulata,Distribucion de Acetabularia crenulata en la costa del Pacifico
3,Acetabularia farlowii,Distribucion de Acetabularia farlowii en la costa del Pacifico
4,Acetabularia schenckii,Distribucion de Acetabularia schenckii en la costa del Pacifico
5,Batophora oerstedii,Distribucion de Batophora oerstedii en la costa del Pacifico
6,Blidingia marginata,Distribucion de Blidingia marginata en la costa del Pacifico
7,Blidingia minima,Distribucion de Blidingia minima en la costa del Pacifico
8,Blidingia ramifera,Distribucion de Blidingia ramifera en la costa del Pacifico
9,Boodlea composita,Distribucion de Boodlea composita en la costa del Pacifico
10,Boodleopsis verticillata,Distribucion de Boodleopsis verticillata en la costa del Pacifico
11,Bryopsis corticulans,Distribucion de Bryopsis corticulans en la costa del Pacifico
12,Bryopsis galapagensis,Distribucion de Bryopsis galapagensis en la costa del Pacifico
13,Bryopsis hypnoides,Distribucion de Bryopsis hypnoides en la costa del Pacifico
14,Bryopsis minor,Distribucion de Bryopsis minor en la costa del Pacifico
15,Bryopsis muscosa,Distribucion de Bryopsis muscosa en la costa del Pacifico
16,Bryopsis pennata,Distribucion de Bryopsis pennata en la costa del Pacifico
17,Bryopsis plumosa,Distribucion de Bryopsis plumosa en la costa del Pacifico
18,Caulerpa ambigua,Distribucion de Caulerpa ambigua en la costa del Pacifico
19,Caulerpa antoensis,Distribucion de Caulerpa antoensis en la costa del Pacifico
20,Caulerpa chemnitzia,Distribucion de Caulerpa chemnitzia en la costa del Pacifico
21,Caulerpa cupressoides,Distribucion de Caulerpa cupressoides en la costa del Pacifico
22,Caulerpa cupressoides lycopodium,Distribucion de Caulerpa cupressoides lycopodium en la costa del Pacifico
23,Caulerpa cylindracea,Distribucion de Caulerpa cylindracea en la costa del Pacifico
24,Caulerpa fastigiata,Distribucion de Caulerpa fastigiata en la costa del Pacifico
25,Caulerpa mexicana,Distribucion de Caulerpa mexicana en la costa del Pacifico
26,Caulerpa mexicana pectinata,Distribucion de Caulerpa mexicana pectinata en la costa del Pacifico
27,Caulerpa racemosa,Distribucion de Caulerpa racemosa en la costa del Pacifico
28,Caulerpa racemosa macrophysa,Distribucion de Caulerpa racemosa macrophysa en la costa del Pacifico
29,Caulerpa sertularioides,Distribucion de Caulerpa sertularioides en la costa del Pacifico
30,Caulerpa sertularioides brevipes,Distribucion de Caulerpa sertularioides brevipes en la costa del Pacifico
31,Caulerpa sertularioides longiseta,Distribucion de Caulerpa sertularioides longiseta en la costa del Pacifico
32,Caulerpa vanbosseae,Distribucion de Caulerpa vanbosseae en la costa del Pacifico
33,Caulerpa verticillata,Distribucion de Caulerpa verticillata en la costa del Pacifico
34,Chaetomorpha aerea,Distribucion de Chaetomorpha aerea en la costa del Pacifico
35,Chaetomorpha antennina,Distribucion de Chaetomorpha antennina en la costa del Pacifico
36,Chaetomorpha bangioides,Distribucion de Chaetomorpha bangioides en la costa del Pacifico
37,Chaetomorpha brachygona,Distribucion de Chaetomorpha brachygona en la costa del Pacifico
38,Chaetomorpha californica,Distribucion de Chaetomorpha californica en la costa del Pacifico
39,Chaetomorpha cannabina,Distribucion de Chaetomorpha cannabina en la costa del Pacifico
40,Chaetomorpha clavata,Distribucion de Chaetomorpha clavata en la costa del Pacifico
41,Chaetomorpha crassa,Distribucion de Chaetomorpha crassa en la costa del Pacifico
42,Chaetomorpha exposita,Distribucion de Chaetomorpha exposita en la costa del Pacifico
43,Chaetomorpha gracilis,Distribucion de Chaetomorpha gracilis en la costa del Pacifico
44,Chaetomorpha javanica,Distribucion de Chaetomorpha javanica en la costa del Pacifico
45,Chaetomorpha ligustica,Distribucion de Chaetomorpha ligustica en la costa del Pacifico
46,Chaetomorpha linoides,Distribucion de Chaetomorpha linoides en la costa del Pacifico
47,Chaetomorpha linum,Distribucion de Chaetomorpha linum en la costa del Pacifico
48,Chaetomorpha minima,Distribucion de Chaetomorpha minima en la costa del Pacifico
49,Chaetomorpha pachynema,Distribucion de Chaetomorpha pachynema en la costa del Pacifico
50,Chaetomorpha picquotiana,Distribucion de Chaetomorpha picquotiana en la costa del Pacifico
51,Chaetomorpha spiralis,Distribucion de Chaetomorpha spiralis en la costa del Pacifico
52,Chlorodesmis caespitosa,Distribucion de Chlorodesmis caespitosa en la costa del Pacifico
53,Chlorodesmis hildebrandtii,Distribucion de Chlorodesmis hildebrandtii en la costa del Pacifico
54,Cladophora albida,Distribucion de Cladophora albida en la costa del Pacifico
55,Cladophora brasiliana,Distribucion de Cladophora brasiliana en la costa del Pacifico
56,Cladophora coelothrix,Distribucion de Cladophora coelothrix en la costa del Pacifico
57,Cladophora columbiana,Distribucion de Cladophora columbiana en la costa del Pacifico
58,Cladophora crassior,Distribucion de Cladophora crassior en la costa del Pacifico
59,Cladophora crystallina,Distribucion de Cladophora crystallina en la costa del Pacifico
60,Cladophora flexuosa,Distribucion de Cladophora flexuosa en la costa del Pacifico
61,Cladophora globulina,Distribucion de Cladophora globulina en la costa del Pacifico
62,Cladophora glomerata,Distribucion de Cladophora glomerata en la costa del Pacifico
63,Cladophora gracilis,Distribucion de Cladophora gracilis en la costa del Pacifico
64,Cladophora graminea,Distribucion de Cladophora graminea en la costa del Pacifico
65,Cladophora hesperia,Distribucion de Cladophora hesperia en la costa del Pacifico
66,Cladophora inserta,Distribucion de Cladophora inserta en la costa del Pacifico
67,Cladophora laetevirens,Distribucion de Cladophora laetevirens en la costa del Pacifico
68,Cladophora lehmanniana,Distribucion de Cladophora lehmanniana en la costa del Pacifico
69,Cladophora liebetruthii,Distribucion de Cladophora liebetruthii en la costa del Pacifico
70,Cladophora liniformis,Distribucion de Cladophora liniformis en la costa del Pacifico
71,Cladophora macdougalii,Distribucion de Cladophora macdougalii en la costa del Pacifico
72,Cladophora microcladioides,Distribucion de Cladophora microcladioides en la costa del Pacifico
73,Cladophora nigrescens,Distribucion de Cladophora nigrescens en la costa del Pacifico
74,Cladophora okamurae,Distribucion de Cladophora okamurae en la costa del Pacifico
75,Cladophora perpusilla,Distribucion de Cladophora perpusilla en la costa del Pacifico
76,Cladophora prolifera,Distribucion de Cladophora prolifera en la costa del Pacifico
77,Cladophora rivularis,Distribucion de Cladophora rivularis en la costa del Pacifico
78,Cladophora sericea,Distribucion de Cladophora sericea en la costa del Pacifico
79,Cladophora stimpsonii,Distribucion de Cladophora stimpsonii en la costa del Pacifico
80,Cladophora tiburonensis,Distribucion de Cladophora tiburonensis en la costa del Pacifico
81,Cladophora vagabunda,Distribucion de Cladophora vagabunda en la costa del Pacifico
82,Cladophora verticillata,Distribucion de Cladophora verticillata en la costa del Pacifico
83,Cladophoropsis fasciculata,Distribucion de Cladophoropsis fasciculata en la costa del Pacifico
84,Cladophoropsis gracillima,Distribucion de Cladophoropsis gracillima en la costa del Pacifico
85,Cladophoropsis macromeres,Distribucion de Cladophoropsis macromeres en la costa del Pacifico
86,Cladophoropsis membranacea,Distribucion de Cladophoropsis membranacea en la costa del Pacifico
87,Cladophoropsis sundanensis,Distribucion de Cladophoropsis sundanensis en la costa del Pacifico
88,Codium amplivesciculatum,Distribucion de Codium amplivesciculatum en la costa del Pacifico
89,Codium brandegeei,Distribucion de Codium brandegeei en la costa del Pacifico
90,Codium dawsonii,Distribucion de Codium dawsonii en la costa del Pacifico
91,Codium decorticatum,Distribucion de Codium decorticatum en la costa del Pacifico
92,Codium dichotomum,Distribucion de Codium dichotomum en la costa del Pacifico
93,Codium fragile,Distribucion de Codium fragile en la costa del Pacifico
94,Codium giraffa,Distribucion de Codium giraffa en la costa del Pacifico
95,Codium hubbsii,Distribucion de Codium hubbsii en la costa del Pacifico
96,Codium isabelae,Distribucion de Codium isabelae en la costa del Pacifico
97,Codium johnstonei,Distribucion de Codium johnstonei en la costa del Pacifico
98,Codium latum palmeri,Distribucion de Codium latum palmeri en la costa del Pacifico
99,Codium picturatum,Distribucion de Codium picturatum en la costa del Pacifico
100,Codium schmiederi,Distribucion de Codium schmiederi en la costa del Pacifico
101,Codium setchellii,Distribucion de Codium setchellii en la costa del Pacifico
102,Codium simulans,Distribucion de Codium simulans en la costa del Pacifico
103,Derbesia hollenbergii,Distribucion de Derbesia hollenbergii en la costa del Pacifico
104,Derbesia lamourouxii,Distribucion de Derbesia lamourouxii en la costa del Pacifico
105,Derbesia marina,Distribucion de Derbesia marina en la costa del Pacifico
106,Derbesia prolifica,Distribucion de Derbesia prolifica en la costa del Pacifico
107,Derbesia tenuissima,Distribucion de Derbesia tenuissima en la costa del Pacifico
108,Derbesia turbinata,Distribucion de Derbesia turbinata en la costa del Pacifico
109,Dictyosphaeria australis,Distribucion de Dictyosphaeria australis en la costa del Pacifico
110,Dictyosphaeria cavernosa,Distribucion de Dictyosphaeria cavernosa en la costa del Pacifico
111,Dictyosphaeria versluysii,Distribucion de Dictyosphaeria versluysii en la costa del Pacifico
112,Entocladia marchantiae,Distribucion de Entocladia marchantiae en la costa del Pacifico
113,Entocladia polysiphoniae,Distribucion de Entocladia polysiphoniae en la costa del Pacifico
114,Entocladia viridis,Distribucion de Entocladia viridis en la costa del Pacifico
115,Epicladia condensata,Distribucion de Epicladia condensata en la costa del Pacifico
116,Epicladia mexicana,Distribucion de Epicladia mexicana en la costa del Pacifico
117,Ernodesmis verticillata,Distribucion de Ernodesmis verticillata en la costa del Pacifico
118,Gayralia oxysperma,Distribucion de Gayralia oxysperma en la costa del Pacifico
119,Geppella decussata,Distribucion de Geppella decussata en la costa del Pacifico
120,Halimeda cuneata,Distribucion de Halimeda cuneata en la costa del Pacifico
121,Halimeda discoidea,Distribucion de Halimeda discoidea en la costa del Pacifico
122,Halimeda hederacea,Distribucion de Halimeda hederacea en la costa del Pacifico
123,Halimeda opuntia,Distribucion de Halimeda opuntia en la costa del Pacifico
124,Halimeda scabra,Distribucion de Halimeda scabra en la costa del Pacifico
125,Halimeda tuna,Distribucion de Halimeda tuna en la costa del Pacifico
126,Kornmannia leptoderma,Distribucion de Kornmannia leptoderma en la costa del Pacifico
127,"luxurians	OAX	1993	 ","Distribucion de luxurians	OAX	1993	  en la costa del Pacifico"
128,Microdictyon palmeri,Distribucion de Microdictyon palmeri en la costa del Pacifico
129,Neomeris annulata,Distribucion de Neomeris annulata en la costa del Pacifico
130,Neomeris van-bosseae,Distribucion de Neomeris van-bosseae en la costa del Pacifico
131,Ostreobium quekettii,Distribucion de Ostreobium quekettii en la costa del Pacifico
132,Parvocaulis parvulus,Distribucion de Parvocaulis parvulus en la costa del Pacifico
133,Parvocaulis pusilla,Distribucion de Parvocaulis pusilla en la costa del Pacifico
134,Penicillus sibogae,Distribucion de Penicillus sibogae en la costa del Pacifico
135,Percursaria dawsonii,Distribucion de Percursaria dawsonii en la costa del Pacifico
136,Phaeophila dendroides,Distribucion de Phaeophila dendroides en la costa del Pacifico
137,Phyllodictyon anastomosans,Distribucion de Phyllodictyon anastomosans en la costa del Pacifico
138,Phyllodictyon pulcherrimum,Distribucion de Phyllodictyon pulcherrimum en la costa del Pacifico
139,Phyllodictyon robustum,Distribucion de Phyllodictyon robustum en la costa del Pacifico
140,Pilinella californica,Distribucion de Pilinella californica en la costa del Pacifico
141,Pilinia maritima pacifica,Distribucion de Pilinia maritima pacifica en la costa del Pacifico
142,Pringsheimiella scutata,Distribucion de Pringsheimiella scutata en la costa del Pacifico
143,Pseudendoclonium marinum,Distribucion de Pseudendoclonium marinum en la costa del Pacifico
144,Pseudobryopsis hainanensis,Distribucion de Pseudobryopsis hainanensis en la costa del Pacifico
145,Pseudorhizoclonium africanum,Distribucion de Pseudorhizoclonium africanum en la costa del Pacifico
146,Rhizoclonium hieroglyphicum,Distribucion de Rhizoclonium hieroglyphicum en la costa del Pacifico
147,Rhizoclonium riparium,Distribucion de Rhizoclonium riparium en la costa del Pacifico
148,Rhizoclonium tortuosum,Distribucion de Rhizoclonium tortuosum en la costa del Pacifico
149,Siphonocladus pusilloides,Distribucion de Siphonocladus pusilloides en la costa del Pacifico
150,Siphonogramen parvum,Distribucion de Siphonogramen parvum en la costa del Pacifico
151,Stromatella monostromatica,Distribucion de Stromatella monostromatica en la costa del Pacifico
152,subsp. mexicanum,Distribucion de subsp. mexicanum en la costa del Pacifico
153,Tetraselmis ascus,Distribucion de Tetraselmis ascus en la costa del Pacifico
154,Tetraselmis marina,Distribucion de Tetraselmis marina en la costa del Pacifico
155,Ulothrix aequalis,Distribucion de Ulothrix aequalis en la costa del Pacifico
156,Ulothrix flacca,Distribucion de Ulothrix flacca en la costa del Pacifico
157,Ulothrix implexa,Distribucion de Ulothrix implexa en la costa del Pacifico
158,Ulva acanthophora,Distribucion de Ulva acanthophora en la costa del Pacifico
159,Ulva australis,Distribucion de Ulva australis en la costa del Pacifico
160,Ulva californica,Distribucion de Ulva californica en la costa del Pacifico
161,Ulva clathrata,Distribucion de Ulva clathrata en la costa del Pacifico
162,Ulva compressa,Distribucion de Ulva compressa en la costa del Pacifico
163,Ulva dactylifera,Distribucion de Ulva dactylifera en la costa del Pacifico
164,Ulva expansa,Distribucion de Ulva expansa en la costa del Pacifico
165,Ulva fasciata,Distribucion de Ulva fasciata en la costa del Pacifico
166,Ulva flexuosa,Distribucion de Ulva flexuosa en la costa del Pacifico
167,Ulva intestinalis,Distribucion de Ulva intestinalis en la costa del Pacifico
168,Ulva lactuca,Distribucion de Ulva lactuca en la costa del Pacifico
169,Ulva linza,Distribucion de Ulva linza en la costa del Pacifico
170,Ulva lobata,Distribucion de Ulva lobata en la costa del Pacifico
171,Ulva nematoidea,Distribucion de Ulva nematoidea en la costa del Pacifico
172,Ulva paradoxa,Distribucion de Ulva paradoxa en la costa del Pacifico
173,Ulva prolifera,Distribucion de Ulva prolifera en la costa del Pacifico
174,Ulva rigida,Distribucion de Ulva rigida en la costa del Pacifico
175,Ulva spinulosa,Distribucion de Ulva spinulosa en la costa del Pacifico
176,Ulva taeniata,Distribucion de Ulva taeniata en la costa del Pacifico
177,Ulva tanneri,Distribucion de Ulva tanneri en la costa del Pacifico
178,Ulvella setchellii,Distribucion de Ulvella setchellii en la costa del Pacifico
179,Urospora wormskioldii,Distribucion de Urospora wormskioldii en la costa del Pacifico
180,Valonia macrophysa,Distribucion de Valonia macrophysa en la costa del Pacifico
181,Valoniopsis hancockii,Distribucion de Valoniopsis hancockii en la costa del Pacifico
182,Valoniopsis pachynema,Distribucion de Valoniopsis pachynema en la costa del Pacifico
183,Vas minor,Distribucion de Vas minor en la costa del Pacifico
184,Willeella montagneana,Distribucion de Willeella montagneana en la costa del Pacifico